ID,Player Name,Name in FPL,Position,Team,News,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),,xPoints Upcoming GW,xPoints Next GW,Starts,Minutes Played,Goals,Assists,xG,xG per 90,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards),Red Cards,Saves,Saves per 90,Bonus,Total BPS,Influence,Creativity,Threat,ICT Index,Influence Rank (Position),Influence Rank (All),Creativity Rank (Position),Creativity Rank (All),Threat Rank (Position),Threat Rank (All),ICT Index Rank (Position),ICT Index Rank (All),Total Points,Transfers in (Round),Transfers in (Season),Transfers Out (Round),Transfers out (Season),Season Value (Points Per Million),Value (Form; Points Per Million),Form,Current Form Rank (All),Dream Team Count
1,F·bio Ferreira Vieira,F·bio Vieira,MID,Arsenal,Has joined Portuguese side FC Porto on loan for the 2024/25 season,0,0,313,690,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,690,313,689,311,687,313,690,0,0,439,2,2762,0,0,0,683,0
2,Gabriel Fernando de Jesus,G.Jesus,FWD,Arsenal,,0.9,0.8,48,463,,1.8,1.8,2,264,0,0,1.02,0.35,0.14,0.05,1.16,0.4,1,0.34,2,0.68,2.44,0.83,0,0,0,4,0,0,0,0,36,26.6,64.5,95,18.3,37,380,28,236,33,164,32,297,10,470,63887,928,231507,1.5,0.1,0.8,302,0
3,Gabriel dos Santos Magalh„es,Gabriel,DEF,Arsenal,,23,4.9,2,23,,4.3,5.8,14,1178,3,1,1.76,0.13,0.54,0.04,2.3,0.17,5,0.38,13,0.99,12.59,0.96,0,0,0,1,0,0,0,7,244,340,84.7,223,64.8,14,44,49,202,3,60,13,81,69,106752,3007297,6225,2059011,11.3,0.8,4.8,32,2
4,Kai Havertz,Havertz,FWD,Arsenal,,10.1,4.1,14,46,,4,4,15,1333,5,2,5.81,0.39,1.25,0.08,7.06,0.47,5,0.34,15,1.01,13.94,0.94,0,0,0,2,0,0,0,7,216,287.8,186,460,93.4,12,76,3,94,5,11,6,26,61,7359,2207891,24893,2666156,7.7,0.4,3,99,1
5,Karl Hein,Hein,GKP,Arsenal,Loaned to Real Valladolid,0,0,61,521,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,516,39,498,29,458,61,518,0,0,0,29,4023,0,0,0,443,0
6,JurriÎn Timber,J.Timber,DEF,Arsenal,,7.2,3.8,13,66,,6.8,6.8,13,1130,1,1,0.67,0.05,0.77,0.06,1.44,0.11,5,0.4,10,0.8,10.14,0.81,0,0,0,3,0,0,0,2,187,189,175.2,153,51.4,66,169,21,103,9,101,30,124,53,38971,934546,6566,277771,9.3,1,5.8,18,1
7,Jorge Luiz Frello Filho,Jorginho,MID,Arsenal,,0.2,1.2,176,363,,2.2,2.2,5,391,0,0,0.04,0.01,0.31,0.07,0.35,0.08,1,0.23,4,0.92,2.92,0.67,0,0,0,3,0,0,0,0,63,30.8,50.1,3,8.4,172,371,165,268,204,382,177,357,10,310,23805,409,38816,2.1,0.3,1.2,238,0
8,Jakub Kiwior,Kiwior,DEF,Arsenal,,0.2,1.6,96,304,,3,3,2,323,0,0,0,0,0.03,0.01,0.03,0.01,1,0.28,5,1.39,4.45,1.24,0,0,0,0,0,0,0,0,39,49.2,13.7,0,6.3,119,345,115,351,232,647,126,380,13,479,21677,1491,21691,2.7,0.4,2,160,0
9,Gabriel Martinelli Silva,Martinelli,MID,Arsenal,,2.5,3.8,32,69,,2.2,2.2,10,851,3,2,2.3,0.24,1.96,0.21,4.26,0.45,5,0.53,9,0.95,8.87,0.94,0,0,0,1,0,0,0,4,164,218.4,205.9,334,75.8,50,143,66,84,19,34,34,55,53,2254,638514,6127,712305,7.9,0.2,1.2,256,1
12,Ethan Nwaneri,Nwaneri,MID,Arsenal,,0.4,1.6,137,298,,2.8,2.8,0,104,1,0,0.15,0.13,0.2,0.17,0.35,0.3,0,0,0,0,0.71,0.61,0,0,0,0,0,0,0,0,50,53.2,30.6,41,12.5,162,340,178,301,143,257,161,327,14,1025,72244,1802,52278,3.1,0.4,1.8,179,0
13,Martin ÿdegaard,ÿdegaard,MID,Arsenal,,6,4,20,49,,5.4,5.4,9,725,1,2,2.19,0.27,2.01,0.25,4.2,0.52,5,0.62,5,0.62,5.75,0.71,0,0,0,1,0,0,0,3,157,172.2,308.1,161,64.3,75,188,32,40,64,99,51,84,36,5290,521407,21714,1469392,4.3,0.5,4.4,48,0
15,David Raya Martin,Raya,GKP,Arsenal,,30.9,4,8,48,,5.4,5.4,16,1440,0,0,0,0,0.01,0,0.01,0,6,0.38,15,0.94,14.27,0.89,0,0,0,2,0,40,2.5,6,233,351.4,0,0,35.2,12,36,72,693,72,692,12,202,64,37932,2189056,12341,1727646,11.4,0.8,4.4,43,1
16,Declan Rice,Rice,MID,Arsenal,Muscle injury - 75% chance of playing,2.5,2.4,86,197,,3.8,2.8,14,1163,0,2,0.97,0.08,2.42,0.19,3.39,0.27,4,0.31,15,1.16,11.24,0.87,0,0,0,3,1,0,0,2,206,227.2,379.5,116,71.8,47,133,17,20,88,134,40,63,33,638,165940,6010,566074,5.3,0.5,2.8,108,0
328,Mohamed Salah,M.Salah,MID,Liverpool,,63.3,10.4,1,1,,13.2,12.7,15,1317,13,9,10.48,0.72,3.29,0.22,13.77,0.94,7,0.48,13,0.89,14.58,1,0,0,0,1,0,0,0,28,497,700.6,374.5,807,188.1,1,1,19,23,1,2,1,1,156,45442,5113580,7808,2030105,11.6,0.9,12.2,1,6
18,William Saliba,Saliba,DEF,Arsenal,,29.9,4.1,7,43,,8.6,8.6,15,1289,2,0,1.88,0.13,0.66,0.05,2.54,0.18,6,0.42,13,0.91,11.63,0.81,0,0,0,2,1,0,0,5,254,316.6,46.2,89,45.4,18,55,79,277,33,171,38,148,61,58365,1801509,11767,2817018,9.8,1.2,7.6,8,2
20,Thomas Partey,Thomas,MID,Arsenal,,0.9,3.2,41,99,,4.4,4.4,13,1218,2,1,1.19,0.09,0.95,0.07,2.14,0.16,4,0.3,13,0.96,12.43,0.92,0,0,0,2,0,0,0,5,257,277.8,164.4,96,54.1,29,83,82,116,101,161,65,110,48,557,252532,2696,215525,9.6,0.7,3.4,78,0
21,Kieran Tierney,Tierney,DEF,Arsenal,,0,0,215,563,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,557,215,547,205,517,216,559,0,90,1746,92,4715,0,0,0,499,0
22,Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,Knee injury - Unknown return date,0,1,145,425,,0,0,0,6,0,0,0.18,2.7,0,0,0.18,2.7,0,0,0,0,0.04,0.6,0,0,0,0,0,0,0,0,2,0.4,0.3,9,1,163,469,157,440,119,349,155,454,1,13,1391,21,7313,0.2,0,0,629,0
23,Leandro Trossard,Trossard,MID,Arsenal,,1.7,3.1,51,117,,4.6,4.6,10,854,3,2,2.5,0.26,1.07,0.11,3.57,0.37,3,0.32,11,1.16,6.8,0.72,0,0,0,0,1,0,0,5,180,218.4,219.2,277,71.3,51,144,57,73,28,44,41,64,49,1168,367076,6010,439046,7.2,0.5,3.6,72,1
24,Benjamin White,White,DEF,Arsenal,Knee injury - Unknown return date,2.5,3,34,124,,0,0,7,694,0,1,0.13,0.02,0.32,0.04,0.45,0.06,3,0.39,7,0.91,9.87,1.28,0,0,0,2,0,0,0,0,112,128.4,55.3,29,21.3,89,238,67,257,88,283,89,276,27,49,145201,3126,945358,4.4,0,0,689,0
25,Oleksandr Zinchenko,Zinchenko,DEF,Arsenal,Knock - 25% chance of playing,1,2.5,51,174,,0.6,0.6,2,234,0,0,0.06,0.02,0.08,0.03,0.14,0.05,2,0.77,0,0,1.73,0.67,0,0,0,1,0,0,0,0,60,22.2,23.2,21,6.7,139,392,104,324,95,300,122,374,15,14,87317,2146,296007,3.1,0.3,1.4,220,0
73,Norberto Murara Neto,Neto,GKP,Arsenal,,0.9,3.5,11,76,,1,1,2,180,0,0,0,0,0,0,0,0,0,0,2,1,2.91,1.46,0,0,0,0,0,11,5.5,0,30,77.8,0,0,7.8,28,299,46,534,37,502,28,362,7,167,82897,841,229890,1.7,0,0,485,0
186,Raheem Sterling,Sterling,MID,Arsenal,,0.9,1.5,154,325,,2,2,2,144,0,1,0.51,0.32,0.09,0.06,0.6,0.38,0,0,1,0.62,1.39,0.87,0,0,0,0,0,0,0,0,24,23.8,37.8,54,11.3,178,384,172,288,128,231,166,336,9,94,46665,435,147708,1.3,0.1,1,270,0
578,Riccardo Calafiori,Calafiori,DEF,Arsenal,Groin Injury - 25% chance of playing,1.3,2.5,53,181,,0.6,0.6,6,505,1,0,0.55,0.1,0.43,0.08,0.98,0.18,1,0.18,8,1.43,5.93,1.06,0,0,0,1,0,0,0,1,77,137.8,46.3,111,29.4,86,224,78,276,18,140,73,232,20,49,194411,3075,356397,3.4,0.2,1.2,250,1
597,Myles Lewis-Skelly,Lewis-Skelly,MID,Arsenal,,0.1,1.3,168,351,,1.6,1.6,1,83,0,0,0,0,0.06,0.07,0.06,0.07,1,1.08,2,2.17,0.89,0.97,0,0,0,1,0,0,0,0,20,11.6,16.2,2,3,196,418,194,342,207,393,198,411,4,352,8447,124,7781,0.9,0.1,0.6,312,0
633,Mikel Merino,Merino,MID,Arsenal,,0.1,2.3,93,211,,2.6,2.6,5,471,1,0,1.24,0.24,0.5,0.1,1.74,0.34,2,0.38,5,0.96,4,0.76,0,0,0,1,0,0,0,1,80,118.8,86,118,32,107,249,126,198,87,133,111,219,21,233,19898,285,16527,3.5,0.3,1.6,207,0
638,Salah-Eddine Oulad M'hand,Oulad M'hand,MID,Arsenal,,0,0,265,625,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,618,265,615,258,598,263,620,0,10,1885,21,1444,0,0,0,574,0
639,Tommy Setford,Setford,GKP,Arsenal,,0,0,72,646,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,639,64,636,59,619,72,641,0,45,2654,62,2553,0,0,0,598,0
657,Maldini Kacurri,Kacurri,DEF,Arsenal,,0.1,0,204,549,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,543,203,524,191,489,205,545,0,101,8973,137,5719,0,0,0,473,0
658,Ayden Heaven,Heaven,DEF,Arsenal,,0,0,209,554,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,548,208,529,197,495,210,550,0,59,5699,123,3953,0,0,0,479,0
659,Ismeal Kabia,Kabia,MID,Arsenal,,0,0,288,653,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,647,288,644,282,628,286,649,0,22,2048,28,1418,0,0,0,606,0
662,Josh Nichols,Nichols,DEF,Arsenal,,0,0,185,529,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,523,185,505,169,466,186,525,0,45,3204,95,2009,0,0,0,451,0
