Player Name,Team,Teams Selected By %,AM Clean Sheets,AM Draws,AM Goals Scored,AM Loss,AM Underdog Draw,AM Underdog Win,AM Win,Total Points,Overall Rank by Position
Mikel Arteta,Arsenal,9,6,6,26,2,0,0,8,104,2
Unai Emery,Aston Villa,7.7,6,3,25,4,1,0,9,105,3
Andoni Iraola,Bournemouth,4.8,4,4,22,7,0,1,5,82,7
Thomas Frank,Brentford,15.1,5,4,26,4,2,1,8,116,4
Fabian Hürzeler,Brighton,2.3,3,3,31,5,1,2,8,119,9
Enzo Maresca,Chelsea,1.7,7,2,20,5,0,0,9,94,13
Oliver Glasner,Crystal Palace,1.9,5,5,26,4,3,2,7,128,12
David Moyes,Everton,5.3,5,7,24,3,2,3,7,137,6
Marco Alexandre Saraiva da Silva,Fulham,0.3,1,0,20,9,0,3,7,94,19
Kieran McKenna,Ipswich,0.4,0,3,16,12,2,1,1,51,18
Ruud van Nistelrooij,Leicester,0.5,2,2,10,11,2,0,3,48,17
Arne Slot,Liverpool,6.3,5,4,36,3,0,0,10,118,5
Pep Guardiola,Man City,29.2,8,3,28,3,0,0,10,113,1
Ruben Filipe Marques Diogo Amorim,Man Utd,1.4,4,4,17,8,3,1,4,86,14
Eddie Howe,Newcastle,2.8,5,1,30,6,0,0,9,97,8
Nuno Herlander Simões Espírito Santo,Nott'm Forest,5,4,3,25,7,0,0,6,78,11
Simon Rusk,Southampton,0.1,1,3,11,12,2,0,1,38,20
Ange Postecoglou,Spurs,1.3,2,2,19,10,1,0,4,58,15
Graham Potter,West Ham,2.6,3,5,19,7,2,1,4,84,10
Vítor Manuel de Oliveira Lopes Pereira,Wolves,2.3,5,2,22,6,1,2,8,111,16
