FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
F·bio Vieira-Arsenal,F·bio Ferreira Vieira,F·bio Vieira,MID,Arsenal,0,0,343,794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343,795,0,343,795,0,341,791,0,343,795,0,0,295,714
G.Jesus-Arsenal,Gabriel Fernando de Jesus,G.Jesus,FWD,Arsenal,1,2.5,25,216,6,600,3,3.05,0.46,2,0.52,0.08,3.57,0.54,2,0.3,5,0.75,5.82,0.87,0,0,0,0,6,152,154.4,33,349,119.5,31,276,255,32,134,52.6,33,287,42,6.5,32,200
Gabriel-Arsenal,Gabriel dos Santos Magalh„es,Gabriel,DEF,Arsenal,12.2,4.2,2,34,28,2363,3,2.7,0.1,2,1.21,0.05,3.91,0.15,10,0.38,22,0.84,23.09,0.88,0,0,0,0,9,459,584.6,40,108,208.8,45,202,287,11,120,108.2,36,135,117,19.2,13,34
Havertz-Arsenal,Kai Havertz,Havertz,FWD,Arsenal,6.2,4.2,10,36,21,1872,9,9.53,0.46,3,1.65,0.08,11.18,0.54,7,0.34,20,0.96,19.32,0.93,0,0,0,0,14,343,467.6,18,155,269,18,161,711,15,34,144.8,17,81,97,12.6,13,61
Hein-Arsenal,Karl Hein,Hein,GK,Arsenal,0,0,68,619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,612,0,57,599,0,38,558,0,68,612,0,0,71,643
J.Timber-Arsenal,JurriÎn Timber,J.Timber,DEF,Arsenal,4.3,3.8,8,63,27,2415,1,1.23,0.05,3,1.3,0.05,2.53,0.1,11,0.41,21,0.78,21.09,0.79,0,0,0,0,9,426,393,69,186,296.8,29,145,254,15,135,94.2,41,158,114,20.7,32,88
Jorginho-Arsenal,Jorge Luiz Frello Filho,Jorginho,MID,Arsenal,0.2,1.3,196,421,9,701,0,0.06,0.01,0,0.59,0.08,0.65,0.09,2,0.26,7,0.9,6.05,0.78,0,0,0,0,0,112,44.8,201,444,88.8,182,311,8,225,443,14.2,200,422,20,4.3,115,357
Kiwior-Arsenal,Jakub Kiwior,Kiwior,DEF,Arsenal,3.8,2.5,68,212,10,1117,1,0.17,0.01,0,0.29,0.02,0.46,0.03,3,0.24,15,1.21,14.71,1.19,0,0,0,0,2,178,267.2,97,260,91.3,96,310,32,128,377,39.2,108,328,43,8.8,38,101
Martinelli-Arsenal,Gabriel Martinelli Silva,Martinelli,MID,Arsenal,3.1,3.8,31,65,25,2284,8,7.13,0.28,4,4.46,0.18,11.59,0.46,10,0.39,25,0.99,26.22,1.03,0,0,0,0,6,422,559.8,40,115,587.8,47,56,912,8,16,206.1,21,26,125,19.2,35,110
Nwaneri-Arsenal,Ethan Nwaneri,Nwaneri,MID,Arsenal,1.5,2.5,86,205,11,882,4,1.19,0.12,2,1.78,0.18,2.97,0.3,4,0.41,4,0.41,5.38,0.55,0,0,0,0,4,251,293.2,110,244,282.8,109,156,255,88,133,83,101,191,66,15.3,53,165
ÿdegaard-Arsenal,Martin ÿdegaard,ÿdegaard,MID,Arsenal,5.7,3.9,28,58,26,2321,3,4.85,0.19,9,6.68,0.26,11.53,0.45,11,0.43,21,0.81,22.16,0.86,0,0,0,0,11,529,524.6,48,128,968.7,7,7,493,42,66,198.8,25,32,116,14.1,19,64
Raya-Arsenal,David Raya Martin,Raya,GK,Arsenal,32.6,3.7,12,73,38,3420,0,0,0,0,0.03,0,0.03,0,13,0.34,34,0.89,35.03,0.92,0,0,86,2.26,10,555,755.4,11,43,10.7,12,458,0,82,796,76.7,11,212,142,25.4,1,6
Rice-Arsenal,Declan Rice,Rice,MID,Arsenal,4.2,3.6,39,85,33,2823,4,3.51,0.11,7,5.64,0.18,9.14,0.29,11,0.35,29,0.92,27.13,0.86,0,0,0,0,17,627,733,12,50,959.6,9,9,399,56,86,208.8,19,24,127,20.2,27,91
Saka-Arsenal,Bukayo Saka,Saka,MID,Arsenal,20.2,5.1,6,11,20,1724,6,6.87,0.36,11,7.78,0.41,14.65,0.77,7,0.37,21,1.1,17.72,0.93,0,0,0,0,18,508,606,37,98,842.8,15,18,830,13,23,227.9,10,14,127,12.2,5,15
Saliba-Arsenal,William Saliba,Saliba,DEF,Arsenal,25.8,3.7,12,76,35,3039,2,2.42,0.07,0,1.28,0.04,3.7,0.11,12,0.36,29,0.86,30.32,0.9,0,0,0,0,14,564,672.6,27,68,150.1,66,246,116,72,257,94.2,42,159,130,20.3,2,10
Thomas-Arsenal,Thomas Partey,Thomas,MID,Arsenal,0.7,3.1,61,137,31,2793,4,2.27,0.07,3,2.64,0.09,4.91,0.16,9,0.29,30,0.97,30.83,0.99,0,0,0,0,8,567,626.6,31,85,377.9,80,109,223,100,157,123.2,69,109,108,22,76,238
Tierney-Arsenal,Kieran Tierney,Tierney,DEF,Arsenal,0.1,2.1,84,265,2,250,1,0.38,0.14,0,0.54,0.19,0.92,0.33,1,0.36,1,0.36,2.69,0.97,0,0,0,0,2,99,91.8,146,405,109.1,84,286,48,115,343,25,127,377,27,6.3,164,470
Tomiyasu-Arsenal,Tomiyasu Takehiro,Tomiyasu,DEF,Arsenal,0,1,177,516,0,6,0,0.18,2.7,0,0,0,0.18,2.7,0,0,0,0,0.04,0.6,0,0,0,0,0,2,0.4,194,547,0.3,190,516,9,159,437,1,184,525,1,0.2,207,599
Trossard-Arsenal,Leandro Trossard,Trossard,MID,Arsenal,4.5,4,24,47,28,2546,8,6.74,0.24,8,4.12,0.15,10.86,0.39,11,0.39,27,0.95,24.76,0.88,0,0,0,0,18,561,609,34,95,617.6,45,54,798,14,25,202.1,23,29,152,22.7,25,84
White-Arsenal,Benjamin White,White,DEF,Arsenal,4.4,2.9,44,158,13,1195,0,0.46,0.03,2,1.3,0.1,1.76,0.13,5,0.38,13,0.98,16.88,1.27,0,0,0,0,0,211,247.6,103,274,162.6,59,237,100,82,276,51,88,291,50,8.1,31,87
Zinchenko-Arsenal,Oleksandr Zinchenko,Zinchenko,DEF,Arsenal,0.9,2.7,56,185,5,518,0,0.65,0.11,1,0.52,0.09,1.17,0.2,4,0.69,1,0.17,3.21,0.56,0,0,0,0,2,141,83.4,148,411,92.8,95,309,66,99,317,24.1,130,382,40,8.3,82,214
Neto-Arsenal,Norberto Murara Neto,Neto,GK,Arsenal,0.7,3.5,15,88,2,180,0,0,0,0,0,0,0,0,0,0,2,1,2.91,1.46,0,0,11,5.5,0,30,77.8,36,417,0,66,649,0,47,612,7.8,36,460,7,1.7,33,243
Sterling-Arsenal,Raheem Sterling,Sterling,MID,Arsenal,0.8,1.5,186,393,7,490,0,1.43,0.26,2,0.48,0.09,1.91,0.35,1,0.18,4,0.73,4.33,0.8,0,0,0,0,0,64,67.2,195,423,125.5,167,271,122,139,248,31.3,180,360,26,3.9,72,224
