Player Name,Name in FPL,Team,Gameweeks
F·bio Ferreira Vieira,F·bio Vieira,Arsenal,16
Gabriel Fernando de Jesus,G.Jesus,Arsenal,16
Gabriel dos Santos Magalh„es,Gabriel,Arsenal,16
Kai Havertz,Havertz,Arsenal,16
Karl Hein,Hein,Arsenal,16
JurriÎn Timber,J.Timber,Arsenal,16
Jorge Luiz Frello Filho,Jorginho,Arsenal,16
Jakub Kiwior,Kiwior,Arsenal,16
Gabriel Martinelli Silva,Martinelli,Arsenal,16
Ethan Nwaneri,Nwaneri,Arsenal,16
Martin ÿdegaard,ÿdegaard,Arsenal,16
David Raya Martin,Raya,Arsenal,16
Declan Rice,Rice,Arsenal,16
Bukayo Saka,Saka,Arsenal,16
William Saliba,Saliba,Arsenal,16
Thomas Partey,Thomas,Arsenal,16
Kieran Tierney,Tierney,Arsenal,16
Tomiyasu Takehiro,Tomiyasu,Arsenal,16
Leandro Trossard,Trossard,Arsenal,16
Benjamin White,White,Arsenal,16
Oleksandr Zinchenko,Zinchenko,Arsenal,16
Norberto Murara Neto,Neto,Arsenal,16
Raheem Sterling,Sterling,Arsenal,16
Riccardo Calafiori,Calafiori,Arsenal,16
Myles Lewis-Skelly,Lewis-Skelly,Arsenal,16
Mikel Merino,Merino,Arsenal,16
Salah-Eddine Oulad M'hand,Oulad M'hand,Arsenal,16
Tommy Setford,Setford,Arsenal,16
Maldini Kacurri,Kacurri,Arsenal,16
Ayden Heaven,Heaven,Arsenal,16
Ismeal Kabia,Kabia,Arsenal,16
Josh Nichols,Nichols,Arsenal,16
Nathan Butler-Oyedeji,Butler-Oyedeji,Arsenal,16
Leon Bailey,Bailey,Aston Villa,16
Ross Barkley,Barkley,Aston Villa,16
Enzo Barrenechea,Barrenechea,Aston Villa,16
Emiliano BuendÌa Stati,Buendia,Aston Villa,16
Matty Cash,Cash,Aston Villa,16
Leander Dendoncker,Dendoncker,Aston Villa,16
Moussa Diaby,Diaby,Aston Villa,16
Diego Carlos Santos Silva,Diego Carlos,Aston Villa,16
Lucas Digne,Digne,Aston Villa,16
Lewis Dobbin,Dobbin,Aston Villa,16
Jhon Dur·n,Duran,Aston Villa,16
Joe Gauci,Gauci,Aston Villa,16
Kortney Hause,Hause,Aston Villa,16
Samuel Iling-Junior,Iling Jr,Aston Villa,16
Boubacar Kamara,Kamara,Aston Villa,16
Kaine Kesler-Hayden,Kesler-Hayden,Aston Villa,16
Ezri Konsa Ngoyo,Konsa,Aston Villa,16
Ian Maatsen,Maatsen,Aston Villa,16
Filip Marschall,Marschall,Aston Villa,16
Emiliano MartÌnez Romero,Martinez,Aston Villa,16
John McGinn,McGinn,Aston Villa,16
Tyrone Mings,Mings,Aston Villa,16
Kosta Nedeljkovi?,Nedeljkovi?,Aston Villa,16
Robin Olsen,Olsen,Aston Villa,16
Pau Torres,Pau,Aston Villa,16
Jacob Ramsey,Ramsey,Aston Villa,16
Morgan Rogers,Rogers,Aston Villa,16
Viljami Sinisalo,Sinisalo,Aston Villa,16
Lino da Cruz Sousa,Sousa,Aston Villa,16
Youri Tielemans,Tielemans,Aston Villa,16
Ollie Watkins,Watkins,Aston Villa,16
Amadou Onana,Onana,Aston Villa,16
Jaden Philogene,Jaden,Aston Villa,16
Lamare Bogarde,Bogarde,Aston Villa,16
Sil Swinkels,Swinkels,Aston Villa,16
Oliwier Zych,Zych,Aston Villa,16
Kadan Young,Young,Aston Villa,16
Ben Broggio,Broggio,Aston Villa,16
Max Aarons,Aarons,Bournemouth,16
Tyler Adams,Adams,Bournemouth,16
Jaidon Anthony,Anthony,Bournemouth,16
David Brooks,Brooks,Bournemouth,16
Ryan Christie,Christie,Bournemouth,16
Lewis Cook,Cook,Bournemouth,16
Enes ‹nal,Enes ‹nal,Bournemouth,16
Romain Faivre,Faivre,Bournemouth,16
Hamed TraorË,H.TraorË,Bournemouth,16
James Hill,Hill,Bournemouth,16
Daniel Jebbison,Jebbison,Bournemouth,16
Milos Kerkez,Kerkez,Bournemouth,16
Justin Kluivert,Kluivert,Bournemouth,16
Chris Mepham,Mepham,Bournemouth,16
Dango Ouattara,O.Dango,Bournemouth,16
Alex Paulsen,Paulsen,Bournemouth,16
Philip Billing,Philip,Bournemouth,16
Alex Scott,Scott,Bournemouth,16
Antoine Semenyo,Semenyo,Bournemouth,16
